Sample_typ	SAMPLE_NUM	METHOD_DES	ATLAS_DESC	EASTING	NORTHING	ALUMINIUM	ANTIMONY	ARSENIC
gbase Stream Water	42_2840_+	Colorimetric Method	East Midlands	477820	339550	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2840_+	ICP Atomic Emission Spectrometry	East Midlands	477820	339550	0.01205200000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2840_+	ICP Mass Spectrometry	East Midlands	477820	339550	0.00818500000	0.00040100000	0.00214300000
gbase Stream Water	42_2896_+	TOC Analyser  (Shimadzu 5000)	East Midlands	462440	337490	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2896_+	Colorimetric Method	East Midlands	462440	337490	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2896_+	ICP Atomic Emission Spectrometry	East Midlands	462440	337490	0.06024700000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2896_+	ICP Mass Spectrometry	East Midlands	462440	337490	0.00534500000	0.00044800000	0.00908900000
gbase Stream Water	42_3055_+	pH electrode	East Midlands	480100	340100	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3055_+	Titrimetric method	East Midlands	480100	340100	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3055_+	TOC Analyser  (Shimadzu 5000)	East Midlands	480100	340100	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3055_+	Colorimetric Method	East Midlands	480100	340100	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3055_+	ICP Atomic Emission Spectrometry	East Midlands	480100	340100	-0.01138100000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3055_+	ICP Mass Spectrometry	East Midlands	480100	340100	0.00672200000	0.00028100000	0.00435500000
gbase Stream Water	42_3022_+	Conductivity meter	East Midlands	478970	340880	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3022_+	Ion Selective Electrode	East Midlands	478970	340880	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3022_+	pH electrode	East Midlands	478970	340880	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3022_+	Titrimetric method	East Midlands	478970	340880	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2857_+	Conductivity meter	East Midlands	476010	339650	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2857_+	Ion Selective Electrode	East Midlands	476010	339650	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2857_+	pH electrode	East Midlands	476010	339650	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2857_+	Titrimetric method	East Midlands	476010	339650	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2857_+	TOC Analyser  (Shimadzu 5000)	East Midlands	476010	339650	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2857_+	Colorimetric Method	East Midlands	476010	339650	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2857_+	ICP Atomic Emission Spectrometry	East Midlands	476010	339650	0.14904700000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2857_+	ICP Mass Spectrometry	East Midlands	476010	339650	0.00237500000	0.00010600000	0.00156200000
gbase Stream Water	42_2861_+	Conductivity meter	East Midlands	475130	339570	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2861_+	Ion Selective Electrode	East Midlands	475130	339570	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3022_+	TOC Analyser  (Shimadzu 5000)	East Midlands	478970	340880	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3022_+	Colorimetric Method	East Midlands	478970	340880	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3022_+	ICP Atomic Emission Spectrometry	East Midlands	478970	340880	0.00077400000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3022_+	ICP Mass Spectrometry	East Midlands	478970	340880	0.00191700000	0.00015600000	0.00181500000
gbase Stream Water	42_3026_+	Conductivity meter	East Midlands	473080	342100	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3026_+	Ion Selective Electrode	East Midlands	473080	342100	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3026_+	pH electrode	East Midlands	473080	342100	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3026_+	Titrimetric method	East Midlands	473080	342100	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3026_+	TOC Analyser  (Shimadzu 5000)	East Midlands	473080	342100	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3026_+	Colorimetric Method	East Midlands	473080	342100	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3026_+	ICP Atomic Emission Spectrometry	East Midlands	473080	342100	0.09296300000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3026_+	ICP Mass Spectrometry	East Midlands	473080	342100	0.00158800000	0.00046300000	0.00873600000
gbase Stream Water	42_3063_+	Conductivity meter	East Midlands	474550	344600	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3063_+	Ion Selective Electrode	East Midlands	474550	344600	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3063_+	pH electrode	East Midlands	474550	344600	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3063_+	Titrimetric method	East Midlands	474550	344600	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3063_+	TOC Analyser  (Shimadzu 5000)	East Midlands	474550	344600	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3063_+	Colorimetric Method	East Midlands	474550	344600	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3063_+	ICP Atomic Emission Spectrometry	East Midlands	474550	344600	0.06434800000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2861_+	pH electrode	East Midlands	475130	339570	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2861_+	Titrimetric method	East Midlands	475130	339570	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2861_+	TOC Analyser  (Shimadzu 5000)	East Midlands	475130	339570	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2861_+	Colorimetric Method	East Midlands	475130	339570	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2861_+	ICP Atomic Emission Spectrometry	East Midlands	475130	339570	0.05948100000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2861_+	ICP Mass Spectrometry	East Midlands	475130	339570	0.00175600000	0.00024600000	0.00464300000
gbase Stream Water	42_3063_+	ICP Mass Spectrometry	East Midlands	474550	344600	0.00223900000	0.00013800000	0.00379300000
gbase Stream Water	42_3066_+	Conductivity meter	East Midlands	474110	343570	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3066_+	Ion Selective Electrode	East Midlands	474110	343570	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3066_+	pH electrode	East Midlands	474110	343570	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3066_+	Titrimetric method	East Midlands	474110	343570	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3066_+	TOC Analyser  (Shimadzu 5000)	East Midlands	474110	343570	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3066_+	Colorimetric Method	East Midlands	474110	343570	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3066_+	ICP Atomic Emission Spectrometry	East Midlands	474110	343570	0.12538800000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3066_+	ICP Mass Spectrometry	East Midlands	474110	343570	0.00150600000	0.00010300000	0.00541200000
gbase Stream Water	42_2805_+	Conductivity meter	East Midlands	463150	338830	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2805_+	Ion Selective Electrode	East Midlands	463150	338830	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2805_+	pH electrode	East Midlands	463150	338830	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2805_+	Titrimetric method	East Midlands	463150	338830	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3038_+	Conductivity meter	East Midlands	473300	344510	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3038_+	Ion Selective Electrode	East Midlands	473300	344510	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3038_+	pH electrode	East Midlands	473300	344510	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3038_+	Titrimetric method	East Midlands	473300	344510	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3038_+	TOC Analyser  (Shimadzu 5000)	East Midlands	473300	344510	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3081_+	Conductivity meter	East Midlands	474700	343230	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3081_+	Ion Selective Electrode	East Midlands	474700	343230	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3081_+	pH electrode	East Midlands	474700	343230	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3081_+	Titrimetric method	East Midlands	474700	343230	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2805_+	TOC Analyser  (Shimadzu 5000)	East Midlands	463150	338830	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2805_+	Colorimetric Method	East Midlands	463150	338830	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2805_+	ICP Atomic Emission Spectrometry	East Midlands	463150	338830	0.09489900000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2805_+	ICP Mass Spectrometry	East Midlands	463150	338830	-0.00075000000	0.00027300000	0.00824100000
gbase Stream Water	42_2877_+	Conductivity meter	East Midlands	462140	338470	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2877_+	Ion Selective Electrode	East Midlands	462140	338470	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2877_+	pH electrode	East Midlands	462140	338470	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2877_+	Titrimetric method	East Midlands	462140	338470	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2877_+	TOC Analyser  (Shimadzu 5000)	East Midlands	462140	338470	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2877_+	Colorimetric Method	East Midlands	462140	338470	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2877_+	ICP Atomic Emission Spectrometry	East Midlands	462140	338470	0.02340500000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2877_+	ICP Mass Spectrometry	East Midlands	462140	338470	0.00171400000	0.00015300000	0.00395000000
gbase Stream Water	42_2879_+	Conductivity meter	East Midlands	463510	339500	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2879_+	Ion Selective Electrode	East Midlands	463510	339500	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2879_+	pH electrode	East Midlands	463510	339500	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3038_+	Colorimetric Method	East Midlands	473300	344510	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3038_+	ICP Atomic Emission Spectrometry	East Midlands	473300	344510	0.17645300000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3038_+	ICP Mass Spectrometry	East Midlands	473300	344510	0.02269500000	0.00005200000	0.00570100000
gbase Stream Water	42_3039_+	Conductivity meter	East Midlands	474990	345030	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3039_+	Ion Selective Electrode	East Midlands	474990	345030	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3039_+	pH electrode	East Midlands	474990	345030	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3039_+	Titrimetric method	East Midlands	474990	345030	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3039_+	TOC Analyser  (Shimadzu 5000)	East Midlands	474990	345030	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3039_+	Colorimetric Method	East Midlands	474990	345030	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3039_+	ICP Atomic Emission Spectrometry	East Midlands	474990	345030	0.15785700000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3039_+	ICP Mass Spectrometry	East Midlands	474990	345030	0.00198600000	0.00030500000	0.00569700000
gbase Stream Water	42_3043_+	Conductivity meter	East Midlands	474680	335780	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3081_+	TOC Analyser  (Shimadzu 5000)	East Midlands	474700	343230	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3081_+	Colorimetric Method	East Midlands	474700	343230	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3081_+	ICP Atomic Emission Spectrometry	East Midlands	474700	343230	0.13957400000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3081_+	ICP Mass Spectrometry	East Midlands	474700	343230	0.00529800000	0.00061200000	0.00901200000
gbase Stream Water	42_2879_+	Titrimetric method	East Midlands	463510	339500	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2879_+	TOC Analyser  (Shimadzu 5000)	East Midlands	463510	339500	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2879_+	Colorimetric Method	East Midlands	463510	339500	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2879_+	ICP Atomic Emission Spectrometry	East Midlands	463510	339500	0.04312800000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2879_+	ICP Mass Spectrometry	East Midlands	463510	339500	0.00502300000	0.00065500000	0.00525100000
gbase Stream Water	42_2883_+	Conductivity meter	East Midlands	475070	338250	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2883_+	Ion Selective Electrode	East Midlands	475070	338250	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2883_+	pH electrode	East Midlands	475070	338250	-99.00000000000	-99.00000000000	-99.00000000000
